seq,rtt_ms,transport,network,relayed
408,1341.500,cloud-mqtt,lan,0
409,1340.400,cloud-mqtt,lan,0
410,1340.400,cloud-mqtt,lan,0
411,1340.400,cloud-mqtt,lan,0
412,1340.500,cloud-mqtt,lan,0
413,1340.700,cloud-mqtt,lan,0
414,1340.800,cloud-mqtt,lan,0
415,1341.000,cloud-mqtt,lan,0
416,1341.000,cloud-mqtt,lan,0
417,1341.100,cloud-mqtt,lan,0
418,1341.200,cloud-mqtt,lan,0
419,1341.300,cloud-mqtt,lan,0
420,1341.300,cloud-mqtt,lan,0
421,1341.400,cloud-mqtt,lan,0
422,1341.500,cloud-mqtt,lan,0
423,1341.500,cloud-mqtt,lan,0
424,1341.500,cloud-mqtt,lan,0
425,1341.500,cloud-mqtt,lan,0
426,1341.600,cloud-mqtt,lan,0
427,1341.800,cloud-mqtt,lan,0
428,1341.900,cloud-mqtt,lan,0
429,1342.000,cloud-mqtt,lan,0
430,1342.000,cloud-mqtt,lan,0
431,1342.100,cloud-mqtt,lan,0
432,1342.200,cloud-mqtt,lan,0
433,1342.400,cloud-mqtt,lan,0
434,1342.400,cloud-mqtt,lan,0
435,1342.600,cloud-mqtt,lan,0
436,1342.800,cloud-mqtt,lan,0
437,1342.800,cloud-mqtt,lan,0
438,1342.900,cloud-mqtt,lan,0
439,1343.000,cloud-mqtt,lan,0
440,1343.000,cloud-mqtt,lan,0
441,1343.200,cloud-mqtt,lan,0
442,1343.500,cloud-mqtt,lan,0
443,1343.600,cloud-mqtt,lan,0
444,1343.700,cloud-mqtt,lan,0
445,1343.800,cloud-mqtt,lan,0
446,1343.800,cloud-mqtt,lan,0
447,1343.900,cloud-mqtt,lan,0
448,1343.900,cloud-mqtt,lan,0
449,1344.100,cloud-mqtt,lan,0
450,1344.200,cloud-mqtt,lan,0
451,1343.200,cloud-mqtt,lan,0
452,1343.200,cloud-mqtt,lan,0
453,1343.400,cloud-mqtt,lan,0
454,1343.400,cloud-mqtt,lan,0
455,1343.600,cloud-mqtt,lan,0
456,1343.600,cloud-mqtt,lan,0
457,1343.700,cloud-mqtt,lan,0
458,1343.800,cloud-mqtt,lan,0
459,1343.900,cloud-mqtt,lan,0
460,1344.000,cloud-mqtt,lan,0
461,1344.000,cloud-mqtt,lan,0
462,1344.300,cloud-mqtt,lan,0
463,1344.300,cloud-mqtt,lan,0
464,1344.400,cloud-mqtt,lan,0
465,1344.600,cloud-mqtt,lan,0
466,1344.700,cloud-mqtt,lan,0
467,1345.000,cloud-mqtt,lan,0
468,1345.100,cloud-mqtt,lan,0
469,1345.200,cloud-mqtt,lan,0
470,1345.300,cloud-mqtt,lan,0
471,1345.500,cloud-mqtt,lan,0
472,1345.800,cloud-mqtt,lan,0
473,1345.900,cloud-mqtt,lan,0
474,1346.000,cloud-mqtt,lan,0
475,1346.100,cloud-mqtt,lan,0
476,1346.400,cloud-mqtt,lan,0
477,1346.500,cloud-mqtt,lan,0
478,1346.700,cloud-mqtt,lan,0
479,1346.800,cloud-mqtt,lan,0
480,1346.900,cloud-mqtt,lan,0
481,1346.900,cloud-mqtt,lan,0
482,1347.000,cloud-mqtt,lan,0
483,1347.200,cloud-mqtt,lan,0
484,1347.400,cloud-mqtt,lan,0
485,1347.500,cloud-mqtt,lan,0
486,1347.600,cloud-mqtt,lan,0
487,1347.900,cloud-mqtt,lan,0
488,1347.900,cloud-mqtt,lan,0
489,1348.200,cloud-mqtt,lan,0
490,1348.600,cloud-mqtt,lan,0
491,1348.700,cloud-mqtt,lan,0
492,1348.900,cloud-mqtt,lan,0
493,1349.200,cloud-mqtt,lan,0
