seq,rtt_ms,transport,network,relayed
217,1098.500,p2p-browser,cross-isp,1
218,1082.500,p2p-browser,cross-isp,1
219,1066.100,p2p-browser,cross-isp,1
220,1049.400,p2p-browser,cross-isp,1
221,1033.000,p2p-browser,cross-isp,1
222,1016.200,p2p-browser,cross-isp,1
223,999.800,p2p-browser,cross-isp,1
224,983.000,p2p-browser,cross-isp,1
225,966.300,p2p-browser,cross-isp,1
226,949.600,p2p-browser,cross-isp,1
227,939.200,p2p-browser,cross-isp,1
228,919.600,p2p-browser,cross-isp,1
229,908.100,p2p-browser,cross-isp,1
230,892.600,p2p-browser,cross-isp,1
231,881.800,p2p-browser,cross-isp,1
232,865.600,p2p-browser,cross-isp,1
233,848.600,p2p-browser,cross-isp,1
234,831.800,p2p-browser,cross-isp,1
235,816.400,p2p-browser,cross-isp,1
236,799.400,p2p-browser,cross-isp,1
237,782.700,p2p-browser,cross-isp,1
238,766.100,p2p-browser,cross-isp,1
239,750.000,p2p-browser,cross-isp,1
240,962.500,p2p-browser,cross-isp,1
241,945.900,p2p-browser,cross-isp,1
242,929.200,p2p-browser,cross-isp,1
243,912.200,p2p-browser,cross-isp,1
244,895.600,p2p-browser,cross-isp,1
245,879.200,p2p-browser,cross-isp,1
246,862.800,p2p-browser,cross-isp,1
247,846.200,p2p-browser,cross-isp,1
248,830.100,p2p-browser,cross-isp,1
249,813.000,p2p-browser,cross-isp,1
250,796.500,p2p-browser,cross-isp,1
251,779.500,p2p-browser,cross-isp,1
252,763.800,p2p-browser,cross-isp,1
253,747.000,p2p-browser,cross-isp,1
254,730.900,p2p-browser,cross-isp,1
255,713.900,p2p-browser,cross-isp,1
256,697.400,p2p-browser,cross-isp,1
257,685.200,p2p-browser,cross-isp,1
258,671.900,p2p-browser,cross-isp,1
259,655.600,p2p-browser,cross-isp,1
260,638.800,p2p-browser,cross-isp,1
261,622.200,p2p-browser,cross-isp,1
262,611.300,p2p-browser,cross-isp,1
263,594.800,p2p-browser,cross-isp,1
264,578.100,p2p-browser,cross-isp,1
265,561.600,p2p-browser,cross-isp,1
266,545.000,p2p-browser,cross-isp,1
267,528.300,p2p-browser,cross-isp,1
268,511.700,p2p-browser,cross-isp,1
269,494.700,p2p-browser,cross-isp,1
270,478.800,p2p-browser,cross-isp,1
271,462.200,p2p-browser,cross-isp,1
272,445.800,p2p-browser,cross-isp,1
273,429.000,p2p-browser,cross-isp,1
274,410.800,p2p-browser,cross-isp,1
275,394.700,p2p-browser,cross-isp,1
276,378.300,p2p-browser,cross-isp,1
277,362.000,p2p-browser,cross-isp,1
278,350.900,p2p-browser,cross-isp,1
279,338.400,p2p-browser,cross-isp,1
280,322.100,p2p-browser,cross-isp,1
281,311.200,p2p-browser,cross-isp,1
282,294.600,p2p-browser,cross-isp,1
283,278.700,p2p-browser,cross-isp,1
284,261.700,p2p-browser,cross-isp,1
285,250.200,p2p-browser,cross-isp,1
286,233.000,p2p-browser,cross-isp,1
287,221.700,p2p-browser,cross-isp,1
288,206.800,p2p-browser,cross-isp,1
289,194.900,p2p-browser,cross-isp,1
290,179.100,p2p-browser,cross-isp,1
291,162.700,p2p-browser,cross-isp,1
292,151.100,p2p-browser,cross-isp,1
293,149.800,p2p-browser,cross-isp,1
294,175.100,p2p-browser,cross-isp,1
295,159.300,p2p-browser,cross-isp,1
296,157.600,p2p-browser,cross-isp,1
297,152.700,p2p-browser,cross-isp,1
298,152.800,p2p-browser,cross-isp,1
299,153.900,p2p-browser,cross-isp,1
300,171.700,p2p-browser,cross-isp,1
301,153.800,p2p-browser,cross-isp,1
302,151.300,p2p-browser,cross-isp,1
303,146.600,p2p-browser,cross-isp,1
304,145.900,p2p-browser,cross-isp,1
305,174.200,p2p-browser,cross-isp,1
306,161.700,p2p-browser,cross-isp,1
307,151.400,p2p-browser,cross-isp,1
308,189.100,p2p-browser,cross-isp,1
309,192.600,p2p-browser,cross-isp,1
310,176.200,p2p-browser,cross-isp,1
311,159.800,p2p-browser,cross-isp,1
312,148.500,p2p-browser,cross-isp,1
313,161.500,p2p-browser,cross-isp,1
