seq,rtt_ms,transport,network,relayed
512,9.400,p2p-browser,lan,0
513,8.500,p2p-browser,lan,0
514,6.200,p2p-browser,lan,0
515,12.800,p2p-browser,lan,0
516,7.600,p2p-browser,lan,0
517,6.400,p2p-browser,lan,0
518,7.500,p2p-browser,lan,0
519,5.100,p2p-browser,lan,0
520,8.200,p2p-browser,lan,0
521,10.400,p2p-browser,lan,0
522,7.300,p2p-browser,lan,0
523,7.900,p2p-browser,lan,0
524,8.700,p2p-browser,lan,0
525,19.000,p2p-browser,lan,0
526,7.700,p2p-browser,lan,0
527,8.400,p2p-browser,lan,0
528,8.000,p2p-browser,lan,0
529,8.100,p2p-browser,lan,0
530,16.800,p2p-browser,lan,0
531,45.200,p2p-browser,lan,0
532,40.900,p2p-browser,lan,0
533,32.700,p2p-browser,lan,0
534,21.600,p2p-browser,lan,0
535,10.500,p2p-browser,lan,0
536,6.200,p2p-browser,lan,0
537,8.100,p2p-browser,lan,0
538,8.800,p2p-browser,lan,0
539,6.600,p2p-browser,lan,0
540,12.800,p2p-browser,lan,0
541,6.500,p2p-browser,lan,0
542,8.200,p2p-browser,lan,0
543,11.600,p2p-browser,lan,0
544,16.600,p2p-browser,lan,0
545,9.000,p2p-browser,lan,0
546,7.300,p2p-browser,lan,0
547,10.900,p2p-browser,lan,0
548,6.000,p2p-browser,lan,0
549,12.100,p2p-browser,lan,0
550,6.200,p2p-browser,lan,0
551,9.600,p2p-browser,lan,0
552,10.200,p2p-browser,lan,0
553,23.400,p2p-browser,lan,0
554,13.300,p2p-browser,lan,0
555,8.000,p2p-browser,lan,0
556,6.300,p2p-browser,lan,0
557,8.200,p2p-browser,lan,0
558,6.100,p2p-browser,lan,0
559,13.500,p2p-browser,lan,0
560,11.700,p2p-browser,lan,0
561,6.100,p2p-browser,lan,0
562,11.400,p2p-browser,lan,0
563,12.700,p2p-browser,lan,0
564,12.800,p2p-browser,lan,0
565,7.000,p2p-browser,lan,0
566,7.200,p2p-browser,lan,0
567,7.500,p2p-browser,lan,0
568,8.900,p2p-browser,lan,0
569,16.600,p2p-browser,lan,0
570,10.200,p2p-browser,lan,0
571,9.800,p2p-browser,lan,0
572,9.300,p2p-browser,lan,0
573,7.100,p2p-browser,lan,0
574,13.300,p2p-browser,lan,0
575,7.000,p2p-browser,lan,0
576,7.600,p2p-browser,lan,0
577,9.200,p2p-browser,lan,0
578,14.500,p2p-browser,lan,0
579,12.200,p2p-browser,lan,0
580,11.300,p2p-browser,lan,0
581,7.800,p2p-browser,lan,0
582,19.200,p2p-browser,lan,0
583,21.400,p2p-browser,lan,0
584,11.300,p2p-browser,lan,0
585,7.800,p2p-browser,lan,0
586,9.300,p2p-browser,lan,0
587,23.800,p2p-browser,lan,0
588,18.100,p2p-browser,lan,0
589,7.400,p2p-browser,lan,0
590,10.000,p2p-browser,lan,0
591,6.300,p2p-browser,lan,0
592,15.600,p2p-browser,lan,0
593,8.400,p2p-browser,lan,0
594,6.900,p2p-browser,lan,0
595,6.900,p2p-browser,lan,0
596,55.700,p2p-browser,lan,0
597,68.400,p2p-browser,lan,0
598,57.300,p2p-browser,lan,0
599,51.200,p2p-browser,lan,0
600,40.000,p2p-browser,lan,0
601,54.400,p2p-browser,lan,0
602,44.000,p2p-browser,lan,0
603,33.700,p2p-browser,lan,0
604,31.600,p2p-browser,lan,0
605,21.400,p2p-browser,lan,0
606,11.000,p2p-browser,lan,0
607,18.100,p2p-browser,lan,0
608,14.000,p2p-browser,lan,0
609,38.000,p2p-browser,lan,0
610,27.100,p2p-browser,lan,0
611,22.000,p2p-browser,lan,0
612,13.700,p2p-browser,lan,0
613,11.500,p2p-browser,lan,0
614,23.000,p2p-browser,lan,0
615,14.600,p2p-browser,lan,0
616,5.800,p2p-browser,lan,0
617,21.000,p2p-browser,lan,0
618,10.300,p2p-browser,lan,0
619,8.200,p2p-browser,lan,0
620,7.600,p2p-browser,lan,0
