seq,rtt_ms,transport,network,relayed
187,1187.600,cloud-mqtt,cross-isp,0
188,1177.100,cloud-mqtt,cross-isp,0
189,1166.100,cloud-mqtt,cross-isp,0
190,1155.300,cloud-mqtt,cross-isp,0
191,1144.300,cloud-mqtt,cross-isp,0
192,1133.100,cloud-mqtt,cross-isp,0
193,1122.400,cloud-mqtt,cross-isp,0
194,1110.500,cloud-mqtt,cross-isp,0
195,1099.500,cloud-mqtt,cross-isp,0
196,1088.700,cloud-mqtt,cross-isp,0
197,1078.100,cloud-mqtt,cross-isp,0
198,1068.000,cloud-mqtt,cross-isp,0
199,1057.300,cloud-mqtt,cross-isp,0
200,1046.800,cloud-mqtt,cross-isp,0
201,1036.000,cloud-mqtt,cross-isp,0
202,1025.500,cloud-mqtt,cross-isp,0
203,1015.100,cloud-mqtt,cross-isp,0
204,1004.700,cloud-mqtt,cross-isp,0
205,993.800,cloud-mqtt,cross-isp,0
206,983.200,cloud-mqtt,cross-isp,0
207,972.600,cloud-mqtt,cross-isp,0
208,961.500,cloud-mqtt,cross-isp,0
209,951.000,cloud-mqtt,cross-isp,0
210,940.800,cloud-mqtt,cross-isp,0
211,930.600,cloud-mqtt,cross-isp,0
212,920.000,cloud-mqtt,cross-isp,0
213,909.400,cloud-mqtt,cross-isp,0
214,899.100,cloud-mqtt,cross-isp,0
215,888.400,cloud-mqtt,cross-isp,0
216,877.800,cloud-mqtt,cross-isp,0
217,867.000,cloud-mqtt,cross-isp,0
218,856.300,cloud-mqtt,cross-isp,0
219,844.300,cloud-mqtt,cross-isp,0
220,833.400,cloud-mqtt,cross-isp,0
221,822.400,cloud-mqtt,cross-isp,0
222,811.500,cloud-mqtt,cross-isp,0
223,800.400,cloud-mqtt,cross-isp,0
224,790.000,cloud-mqtt,cross-isp,0
225,779.100,cloud-mqtt,cross-isp,0
226,768.100,cloud-mqtt,cross-isp,0
227,757.800,cloud-mqtt,cross-isp,0
228,747.300,cloud-mqtt,cross-isp,0
229,736.300,cloud-mqtt,cross-isp,0
230,725.900,cloud-mqtt,cross-isp,0
231,715.500,cloud-mqtt,cross-isp,0
232,704.800,cloud-mqtt,cross-isp,0
233,694.400,cloud-mqtt,cross-isp,0
234,683.500,cloud-mqtt,cross-isp,0
235,673.200,cloud-mqtt,cross-isp,0
236,661.000,cloud-mqtt,cross-isp,0
237,650.200,cloud-mqtt,cross-isp,0
238,639.700,cloud-mqtt,cross-isp,0
239,628.500,cloud-mqtt,cross-isp,0
240,617.400,cloud-mqtt,cross-isp,0
241,606.400,cloud-mqtt,cross-isp,0
242,594.600,cloud-mqtt,cross-isp,0
243,584.400,cloud-mqtt,cross-isp,0
244,573.800,cloud-mqtt,cross-isp,0
245,563.700,cloud-mqtt,cross-isp,0
246,553.600,cloud-mqtt,cross-isp,0
247,543.400,cloud-mqtt,cross-isp,0
248,532.700,cloud-mqtt,cross-isp,0
249,521.900,cloud-mqtt,cross-isp,0
250,511.800,cloud-mqtt,cross-isp,0
251,527.700,cloud-mqtt,cross-isp,0
252,517.000,cloud-mqtt,cross-isp,0
253,505.300,cloud-mqtt,cross-isp,0
254,500.200,cloud-mqtt,cross-isp,0
